"","lambda\_","force","stiffness"
0,1.0,1.000000,0.0
1,1.0,1.000000,0.0
2,1.0,1.000000,0.0
3,1.0,1.000000,0.0
4,-1.0,-1.414214,0.0
5,-1.0,-1.414214,0.0
